# the reading for 3 rounds (include color, reflection, ambient)

DATA LOG STARTING - 3 ROUNDS
Format: Color | Refl | Amb | TurnRate | Notes
--------------------------------------------------
Color.BLACK  | 9    | -4   | 43   | [CORNER] 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLACK  | 12   | 0    | 39   | 
Color.BLACK  | 12   | 0    | 39   | 
Color.BLACK  | 11   | 1    | 40   | [CORNER] 
Color.BLUE   | 38   | 2    | 8    | [COLOR DETECTED!] 
Color.WHITE  | 74   | 2    | -34  | 
Color.WHITE  | 95   | 3    | -60  | [CORNER] 
Color.WHITE  | 97   | 3    | -62  | [CORNER] 
Color.WHITE  | 86   | 3    | -49  | [CORNER] 
Color.WHITE  | 86   | 3    | -49  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 86   | 3    | -49  | [CORNER] 
Color.BLUE   | 22   | 1    | 27   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.GREEN  | 10   | 0    | 42   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 9    | 0    | 43   | [CORNER] 
Color.BLACK  | 12   | 0    | 39   | 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLUE   | 17   | 0    | 33   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 26   | 2    | 22   | [COLOR DETECTED!] 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 65   | 2    | -24  | 
Color.WHITE  | 72   | 3    | -32  | 
Color.WHITE  | 70   | 3    | -30  | 
Color.WHITE  | 60   | 2    | -18  | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 35   | 1    | 12   | 
Color.BLUE   | 33   | 1    | 14   | [COLOR DETECTED!] 
Color.BLUE   | 35   | 2    | 12   | [COLOR DETECTED!] 
Color.BLUE   | 38   | 1    | 8    | [COLOR DETECTED!] 
Color.WHITE  | 39   | 2    | 7    | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 52   | 2    | -8   | 
Color.WHITE  | 56   | 2    | -13  | 
Color.WHITE  | 56   | 2    | -13  | 
Color.WHITE  | 52   | 2    | -8   | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 35   | 2    | 12   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.BLUE   | 25   | 1    | 24   | [COLOR DETECTED!] 
Color.BLUE   | 25   | 1    | 24   | [COLOR DETECTED!] 
Color.BLUE   | 32   | 2    | 15   | [COLOR DETECTED!] 
Color.WHITE  | 69   | 2    | -28  | 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 92   | 3    | -56  | [CORNER] 
Color.WHITE  | 92   | 4    | -56  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 90   | 4    | -54  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 84   | 3    | -46  | [CORNER] 
Color.WHITE  | 83   | 3    | -45  | [CORNER] 
Color.WHITE  | 82   | 3    | -44  | [CORNER] 
